aseguramos	asegurarían
atendemos	atenderían
ayudamos	ayudarían
cambiamos	cambiarían
caminamos	caminarían
combatimos	combatirían
conseguimos	conseguirían
construimos	construirían
consultamos	consultarían
cortamos	cortarían
decimos	dirían
descargamos	descargarían
discutimos	discutirían
disfrutamos	disfrutarían
dormimos	dormirían
ejercemos	ejercerían
encontramos	encontrarían
formulamos	formularían
fortalecemos	fortalecerían
implicamos	implicarían
incorporamos	incorporarían
llegamos	llegarían
medimos	medirían
mejoramos	mejorarían
modificamos	modificarían
mostramos	mostrarían
obtenemos	obtendrían
parecemos	parecerían
pensamos	pensarían
permitimos	permitirían
presentamos	presentarían
proveemos	proveerían
quedamos	quedarían
reconocemos	reconocerían
recuperamos	recuperarían
relacionamos	relacionarían
representamos	representarían
requerimos	requerirían
respondemos	responderían
rompemos	romperían
sabemos	sabrían
sacamos	sacarían
seleccionamos	seleccionarían
sentimos	sentirían
sobrevivimos	sobrevivirían
sufrimos	sufrirían
terminamos	terminarían
tocamos	tocarían
venimos	vendrían
viajamos	viajarían
