abandonaste	abandonaron
abriste	abrieron
accediste	accedieron
administraste	administraron
ampliaste	ampliaron
analizaste	analizaron
aprobaste	aprobaron
ayudaste	ayudaron
bailaste	bailaron
casaste	casaron
celebraste	celebraron
comiste	comieron
contuviste	contuvieron
contribuiste	contribuyeron
coordinaste	coordinaron
cubriste	cubrieron
diste	dieron
dejaste	dejaron
desempeñaste	desempeñaron
discutiste	discutieron
disfrutaste	disfrutaron
dormiste	durmieron
elaboraste	elaboraron
escapaste	escaparon
evaluaste	evaluaron
formaste	formaron
formulaste	formularon
funcionaste	funcionaron
gestionaste	gestionaron
identificaste	identificaron
integraste	integraron
llamaste	llamaron
luchaste	lucharon
manejaste	manejaron
mostraste	mostraron
necesitaste	necesitaron
participaste	participaron
preguntaste	preguntaron
previniste	previnieron
proporcionaste	proporcionaron
protegiste	protegieron
proveíste	proveyeron
publicaste	publicaron
reemplazaste	reemplazaron
respetaste	respetaron
saliste	salieron
supervisaste	supervisaron
uniste	unieron
viniste	vinieron
viste	vieron
