abriré	abrirá
aceptaré	aceptará
actuaré	actuará
animaré	animará
aprobaré	aprobará
asumiré	asumirá
aumentaré	aumentará
casaré	casará
cerraré	cerrará
confiaré	confiará
conseguiré	conseguirá
continuaré	continuará
correré	correrá
cortaré	cortará
crearé	creará
cumpliré	cumplirá
dependeré	dependerá
describiré	describirá
desempeñaré	desempeñará
elaboraré	elaborará
eliminaré	eliminará
enseñaré	enseñará
enviaré	enviará
existiré	existirá
garantizaré	garantizará
gastaré	gastará
generaré	generará
habilitaré	habilitará
intentaré	intentará
invertiré	invertirá
investigaré	investigará
iré	irá
jugaré	jugará
limpiaré	limpiará
mataré	matará
mediré	medirá
mejoraré	mejorará
moriré	morirá
oiré	oirá
pensaré	pensará
permitiré	permitirá
pondré	pondrá
produciré	producirá
quedaré	quedará
reforzaré	reforzará
responderé	responderá
serviré	servirá
solicitaré	solicitará
veré	verá
viajaré	viajará
