acuerdan	acordabas
administran	administrabas
adoptan	adoptabas
amplían	ampliabas
analizan	analizabas
buscan	buscabas
cambian	cambiabas
caminan	caminabas
casan	casabas
causan	causabas
comienzan	comenzabas
completan	completabas
comprenden	comprendías
conocen	conocías
contienen	contenías
continúan	continuabas
crean	creabas
definen	definías
dejan	dejabas
descargan	descargabas
desempeñan	desempeñabas
dirigen	dirigías
duermen	dormías
elaboran	elaborabas
enseñan	enseñabas
estudian	estudiabas
evalúan	evaluabas
financian	financiabas
firman	firmabas
formulan	formulabas
imaginan	imaginabas
leen	leías
limpian	limpiabas
necesitan	necesitabas
ocurren	ocurrías
organizan	organizabas
pueden	podías
ponen	ponías
preparan	preparabas
preservan	preservabas
protegen	protegías
recuperan	recuperabas
refuerzan	reforzabas
representan	representabas
resuelven	resolvías
sacan	sacabas
tienen	tenías
trabajan	trabajabas
utilizan	utilizabas
venden	vendías
