abordaríamos	abordarían
asumiríamos	asumirían
aumentaríamos	aumentarían
ayudaríamos	ayudarían
beberíamos	beberían
caminaríamos	caminarían
casaríamos	casarían
conduciríamos	conducirían
consistiríamos	consistirían
continuaríamos	continuarían
dejaríamos	dejarían
desarrollaríamos	desarrollarían
discutiríamos	discutirían
elegiríamos	elegirían
estaríamos	estarían
evaluaríamos	evaluarían
explicaríamos	explicarían
exploraríamos	explorarían
financiaríamos	financiarían
fortaleceríamos	fortalecerían
gestionaríamos	gestionarían
haríamos	harían
integraríamos	integrarían
jugaríamos	jugarían
leeríamos	leerían
llamaríamos	llamarían
llevaríamos	llevarían
localizaríamos	localizarían
manejaríamos	manejarían
mantendríamos	mantendrían
mencionaríamos	mencionarían
miraríamos	mirarían
obtendríamos	obtendrían
participaríamos	participarían
pasaríamos	pasarían
preguntaríamos	preguntarían
protegeríamos	protegerían
reduciríamos	reducirían
representaríamos	representarían
requeriríamos	requerirían
responderíamos	responderían
robaríamos	robarían
sacaríamos	sacarían
sentiríamos	sentirían
sugeriríamos	sugerirían
uniríamos	unirían
visitaríamos	visitarían
viviríamos	vivirían
volaríamos	volarían
votaríamos	votarían
