adquiría	adquirieron
ampliaba	ampliaron
celebraba	celebraron
concluía	concluyeron
conducía	condujeron
consolidaba	consolidaron
descargaba	descargaron
destruía	destruyeron
elaboraba	elaboraron
eliminaba	eliminaron
entendía	entendieron
escuchaba	escucharon
esperaba	esperaron
estudiaba	estudiaron
expresaba	expresaron
firmaba	firmaron
formaba	formaron
instalaba	instalaron
investigaba	investigaron
limitaba	limitaron
lloraba	lloraron
lograba	lograron
medía	midieron
miraba	miraron
movía	movieron
observaba	observaron
obtenía	obtuvieron
olvidaba	olvidaron
organizaba	organizaron
pagaba	pagaron
partía	partieron
pasaba	pasaron
publicaba	publicaron
recogía	recogieron
refería	refirieron
reforzaba	reforzaron
relacionaba	relacionaron
requería	requirieron
resolvía	resolvieron
respetaba	respetaron
robaba	robaron
salvaba	salvaron
seleccionaba	seleccionaron
sentía	sintieron
sugería	sugirieron
sumaba	sumaron
supervisaba	supervisaron
tenía	tuvieron
usaba	usaron
volaba	volaron
