aceptaba	aceptaría
administraba	administraría
agradecía	agradecería
animaba	animaría
apoyaba	apoyaría
atendía	atendería
añadía	añadiría
cambiaba	cambiaría
casaba	casaría
completaba	completaría
conducía	conduciría
confirmaba	confirmaría
conseguía	conseguiría
cubría	cubriría
defendía	defendería
descargaba	descargaría
eliminaba	eliminaría
entraba	entraría
evaluaba	evaluaría
financiaba	financiaría
ganaba	ganaría
gestionaba	gestionaría
guardaba	guardaría
había	habría
imaginaba	imaginaría
impedía	impediría
incluía	incluiría
indicaba	indicaría
iniciaba	iniciaría
invertía	invertiría
jugaba	jugaría
limitaba	limitaría
obtenía	obtendría
olvidaba	olvidaría
paraba	pararía
parecía	parecería
pasaba	pasaría
pedía	pediría
permitía	permitiría
podía	podría
preparaba	prepararía
presentaba	presentaría
producía	produciría
proporcionaba	proporcionaría
proveía	proveería
recordaba	recordaría
relacionaba	relacionaría
revisaba	revisaría
trabajaba	trabajaría
usaba	usaría
