abordarás	abordarían
acelerarás	acelerarían
adoptarás	adoptarían
alcanzarás	alcanzarían
analizarás	analizarían
asegurarás	asegurarían
aumentarás	aumentarían
añadirás	añadirían
bailarás	bailarían
buscarás	buscarían
caminarás	caminarían
celebrarás	celebrarían
cerrarás	cerrarían
compartirás	compartirían
comprarás	comprarían
conocerás	conocerían
consolidarás	consolidarían
consultarás	consultarían
controlarás	controlarían
enfrentarás	enfrentarían
escucharás	escucharían
gestionarás	gestionarían
hablarás	hablarían
imaginarás	imaginarían
impondrás	impondrían
indicarás	indicarían
involucrarás	involucrarían
limitarás	limitarían
mejorarás	mejorarían
organizarás	organizarían
pagarás	pagarían
participarás	participarían
pasarás	pasarían
permitirás	permitirían
promocionarás	promocionarían
proveerás	proveerían
quedarás	quedarían
referirás	referirían
reforzarás	reforzarían
requerirás	requerirían
responderás	responderían
revisarás	revisarían
seguirás	seguirían
sentirás	sentirían
señalarás	señalarían
solicitarás	solicitarían
superarás	superarían
terminarás	terminarían
vivirás	vivirían
volverás	volverían
