abordar	abordaremos
abrir	abriremos
actuar	actuaremos
alentar	alentaremos
ampliar	ampliaremos
asumir	asumiremos
atraer	atraeremos
ayudar	ayudaremos
comenzar	comenzaremos
comprar	compraremos
confiar	confiaremos
conseguir	conseguiremos
consultar	consultaremos
contener	contendremos
convertir	convertiremos
crecer	creceremos
creer	creeremos
descubrir	descubriremos
destacar	destacaremos
detener	detendremos
dirigir	dirigiremos
dormir	dormiremos
elegir	elegiremos
estudiar	estudiaremos
evaluar	evaluaremos
facilitar	facilitaremos
fortalecer	fortaleceremos
gastar	gastaremos
gestionar	gestionaremos
haber	habremos
hacer	haremos
incrementar	incrementaremos
integrar	integraremos
ir	iremos
jugar	jugaremos
llegar	llegaremos
matar	mataremos
mostrar	mostraremos
ofrecer	ofreceremos
organizar	organizaremos
oír	oiremos
quedar	quedaremos
recordar	recordaremos
requerir	requeriremos
saber	sabremos
salvar	salvaremos
tomar	tomaremos
utilizar	utilizaremos
venir	vendremos
visitar	visitaremos
