aceptáis	aceptaremos
adoptáis	adoptaremos
agradecéis	agradeceremos
analizáis	analizaremos
asumís	asumiremos
averiguáis	averiguaremos
ayudáis	ayudaremos
bebéis	beberemos
cerráis	cerraremos
compráis	compraremos
conserváis	conservaremos
contáis	contaremos
contribuís	contribuiremos
determináis	determinaremos
ejecutáis	ejecutaremos
elegís	elegiremos
escapáis	escaparemos
estáis	estaremos
estudiáis	estudiaremos
evaluáis	evaluaremos
explicáis	explicaremos
falláis	fallaremos
firmáis	firmaremos
garantizáis	garantizaremos
gastáis	gastaremos
habéis	habremos
imponéis	impondremos
incluís	incluiremos
incorporáis	incorporaremos
incrementáis	incrementaremos
instaláis	instalaremos
integráis	integraremos
intentáis	intentaremos
vais	iremos
manejáis	manejaremos
matáis	mataremos
mostráis	mostraremos
organizáis	organizaremos
pagáis	pagaremos
parecéis	pareceremos
pasáis	pasaremos
permitís	permitiremos
protegéis	protegeremos
recuperáis	recuperaremos
referís	referiremos
requerís	requeriremos
respondéis	responderemos
satisfacéis	satisfaremos
seguís	seguiremos
sobrevivís	sobreviviremos
