accede	accedisteis
adopta	adoptasteis
alienta	alentasteis
aprende	aprendisteis
aprueba	aprobasteis
asiste	asististeis
ayuda	ayudasteis
bebe	bebisteis
busca	buscasteis
camina	caminasteis
casa	casasteis
cierra	cerrasteis
combate	combatisteis
come	comisteis
comparte	compartisteis
completa	completasteis
comprende	comprendisteis
coopera	cooperasteis
cuida	cuidasteis
define	definisteis
elabora	elaborasteis
enfrenta	enfrentasteis
enseña	enseñasteis
espera	esperasteis
facilita	facilitasteis
forma	formasteis
identifica	identificasteis
incorpora	incorporasteis
indica	indicasteis
informa	informasteis
instala	instalasteis
limpia	limpiasteis
lleva	llevasteis
mide	medisteis
observa	observasteis
olvida	olvidasteis
participa	participasteis
promociona	promocionasteis
promueve	promovisteis
publica	publicasteis
recibe	recibisteis
sale	salisteis
salva	salvasteis
sigue	seguisteis
señala	señalasteis
suma	sumasteis
toca	tocasteis
une	unisteis
usa	usasteis
vota	votasteis
