analizábamos	analizaríais
aplicábamos	aplicaríais
asegurábamos	aseguraríais
buscábamos	buscaríais
completábamos	completaríais
consolidábamos	consolidaríais
contábamos	contaríais
dejábamos	dejaríais
describíamos	describiríais
desempeñábamos	desempeñaríais
destruíamos	destruiríais
determinábamos	determinaríais
ejercíamos	ejerceríais
elaborábamos	elaboraríais
elegíamos	elegiríais
encontrábamos	encontraríais
enfrentábamos	enfrentaríais
entendíamos	entenderíais
esperábamos	esperaríais
evitábamos	evitaríais
examinábamos	examinaríais
fortalecíamos	fortaleceríais
gastábamos	gastaríais
habíamos	habríais
introducíamos	introduciríais
invertíamos	invertiríais
llamábamos	llamaríais
llorábamos	lloraríais
modificábamos	modificaríais
moríamos	moriríais
necesitábamos	necesitaríais
partíamos	partiríais
preguntábamos	preguntaríais
preparábamos	prepararíais
probábamos	probaríais
recordábamos	recordaríais
reemplazábamos	reemplazaríais
reforzábamos	reforzaríais
relacionábamos	relacionaríais
respondíamos	responderíais
sacábamos	sacaríais
salvábamos	salvaríais
sentábamos	sentaríais
éramos	seríais
soportábamos	soportaríais
teníamos	tendríais
trabajábamos	trabajaríais
usábamos	usaríais
utilizábamos	utilizaríais
viajábamos	viajaríais
