analizaré	analizará
aplicaré	aplicará
averiguaré	averiguará
ayudaré	ayudará
causaré	causará
cerraré	cerrará
compartiré	compartirá
creeré	creerá
cumpliré	cumplirá
destruiré	destruirá
elegiré	elegirá
empezaré	empezará
enfrentaré	enfrentará
enseñaré	enseñará
estableceré	establecerá
estaré	estará
existiré	existirá
financiaré	financiará
gastaré	gastará
gestionaré	gestionará
guardaré	guardará
hablaré	hablará
imaginaré	imaginará
implicaré	implicará
incorporaré	incorporará
incrementaré	incrementará
indicaré	indicará
limitaré	limitará
lloraré	llorará
lucharé	luchará
mantendré	mantendrá
mediré	medirá
moveré	moverá
necesitaré	necesitará
pararé	parará
participaré	participará
pediré	pedirá
presentaré	presentará
promoveré	promoverá
recordaré	recordará
reduciré	reducirá
referiré	referirá
saldré	saldrá
seguiré	seguirá
tomaré	tomará
trabajaré	trabajará
veré	verá
verificaré	verificará
volaré	volará
votaré	votará
