aceleró	acelerará
aceptó	aceptará
analizó	analizará
aplicó	aplicará
bailó	bailará
confió	confiará
consiguió	conseguirá
consistió	consistirá
continuó	continuará
corrió	correrá
cumplió	cumplirá
dio	dará
dijo	dirá
definió	definirá
dejó	dejará
dependió	dependerá
desarrolló	desarrollará
disfrutó	disfrutará
ejecutó	ejecutará
eliminó	eliminará
empezó	empezará
enseñó	enseñará
escuchó	escuchará
evadió	evadirá
explicó	explicará
ganó	ganará
generó	generará
habló	hablará
incrementó	incrementará
introdujo	introducirá
jugó	jugará
luchó	luchará
modificó	modificará
necesitó	necesitará
pareció	parecerá
pidió	pedirá
previno	prevendrá
proporcionó	proporcionará
reconoció	reconocerá
refirió	referirá
respetó	respetará
salvó	salvará
solicitó	solicitará
sumó	sumará
superó	superará
tomó	tomará
vendió	venderá
vino	vendrá
viajó	viajará
volvió	volverá
