abordabas	abordarían
abrías	abrirían
accedías	accederían
aceptabas	aceptarían
acordabas	acordarían
alcanzabas	alcanzarían
animabas	animarían
aprobabas	aprobarían
ayudabas	ayudarían
buscabas	buscarían
cerrabas	cerrarían
comprobabas	comprobarían
confiabas	confiarían
conseguías	conseguirían
consistías	consistirían
contabas	contarían
coordinabas	coordinarían
crecías	crecerían
decidías	decidirían
dependías	dependerían
destruías	destruirían
ejecutabas	ejecutarían
evitabas	evitarían
explicabas	explicarían
explorabas	explorarían
formulabas	formularían
funcionabas	funcionarían
garantizabas	garantizarían
guardabas	guardarían
imaginabas	imaginarían
introducías	introducirían
leías	leerían
manejabas	manejarían
medías	medirían
mejorabas	mejorarían
obtenías	obtendrían
parabas	pararían
participabas	participarían
preguntabas	preguntarían
preparabas	prepararían
probabas	probarían
protegías	protegerían
relacionabas	relacionarían
requerías	requerirían
respondías	responderían
seguías	seguirían
sugerías	sugerirían
tomabas	tomarían
trabajabas	trabajarían
volvías	volverían
