abandonará	abandonarán
abordará	abordarán
abrirá	abrirán
aceptará	aceptarán
acordará	acordarán
asistirá	asistirán
causará	causarán
celebrará	celebrarán
conocerá	conocerán
considerará	considerarán
consultará	consultarán
correrá	correrán
cortará	cortarán
cubrirá	cubrirán
defenderá	defenderán
describirá	describirán
designará	designarán
detendrá	detendrán
existirá	existirán
explicará	explicarán
expresará	expresarán
financiará	financiarán
firmará	firmarán
garantizará	garantizarán
habilitará	habilitarán
incluirá	incluirán
incrementará	incrementarán
indicará	indicarán
investigará	investigarán
leerá	leerán
limpiará	limpiarán
ofrecerá	ofrecerán
olvidará	olvidarán
pagará	pagarán
partirá	partirán
pensará	pensarán
pondrá	pondrán
preguntará	preguntarán
preservará	preservarán
propondrá	propondrán
proporcionará	proporcionarán
proveerá	proveerán
quedará	quedarán
revisará	revisarán
sufrirá	sufrirán
sumará	sumarán
terminará	terminarán
visitará	visitarán
vivirá	vivirán
volará	volarán
