adoptasteis	adoptaron
ampliasteis	ampliaron
animasteis	animaron
celebrasteis	celebraron
cerrasteis	cerraron
combatisteis	combatieron
conseguisteis	consiguieron
considerasteis	consideraron
construisteis	construyeron
consultasteis	consultaron
contasteis	contaron
controlasteis	controlaron
coordinasteis	coordinaron
crecisteis	crecieron
dejasteis	dejaron
dependisteis	dependieron
desempeñasteis	desempeñaron
detuvisteis	detuvieron
entendisteis	entendieron
enviasteis	enviaron
expresasteis	expresaron
facilitasteis	facilitaron
formulasteis	formularon
impusisteis	impusieron
incorporasteis	incorporaron
localizasteis	localizaron
matasteis	mataron
mencionasteis	mencionaron
necesitasteis	necesitaron
parecisteis	parecieron
participasteis	participaron
permanecisteis	permanecieron
pusisteis	pusieron
preguntasteis	preguntaron
preservasteis	preservaron
prestasteis	prestaron
produjisteis	produjeron
promovisteis	promovieron
proporcionasteis	proporcionaron
proveísteis	proveyeron
quedasteis	quedaron
recogisteis	recogieron
redujisteis	redujeron
sacasteis	sacaron
satisficisteis	satisficieron
seleccionasteis	seleccionaron
solicitasteis	solicitaron
terminasteis	terminaron
tomasteis	tomaron
unisteis	unieron
