aceleraban	aceleramos
administraban	administramos
adquirían	adquirimos
alentaban	alentamos
aparecían	aparecimos
averiguaban	averiguamos
bebían	bebimos
buscaban	buscamos
casaban	casamos
comprendían	comprendimos
confirmaban	confirmamos
consolidaban	consolidamos
continuaban	continuamos
controlaban	controlamos
convertían	convertimos
cooperaban	cooperamos
dependían	dependimos
encontraban	encontramos
evadían	evadimos
formaban	formamos
impedían	impedimos
instalaban	instalamos
investigaban	investigamos
llamaban	llamamos
luchaban	luchamos
movían	movimos
necesitaban	necesitamos
olvidaban	olvidamos
organizaban	organizamos
preparaban	preparamos
preservaban	preservamos
probaban	probamos
producían	produjimos
promovían	promovimos
proporcionaban	proporcionamos
publicaban	publicamos
resolvían	resolvimos
rompían	rompimos
sabían	supimos
salvaban	salvamos
sentían	sentimos
sobrevivían	sobrevivimos
soportaban	soportamos
sufrían	sufrimos
tenían	tuvimos
unían	unimos
utilizaban	utilizamos
vendían	vendimos
veían	vimos
volvían	volvimos
