abandonan	abandonaría
acceden	accedería
alcanzan	alcanzaría
aplican	aplicaría
aseguran	aseguraría
añaden	añadiría
bailan	bailaría
celebran	celebraría
cierran	cerraría
comen	comería
comprueban	comprobaría
confirman	confirmaría
consiguen	conseguiría
consideran	consideraría
consultan	consultaría
contienen	contendría
cubren	cubriría
cumplen	cumpliría
describen	describiría
determinan	determinaría
ejercen	ejercería
escuchan	escucharía
esperan	esperaría
establecen	establecería
evalúan	evaluaría
expresan	expresaría
facilitan	facilitaría
funcionan	funcionaría
garantizan	garantizaría
impiden	impediría
matan	mataría
mencionan	mencionaría
modifican	modificaría
mueven	movería
ofrecen	ofrecería
organizan	organizaría
paran	pararía
parten	partiría
permiten	permitiría
preguntan	preguntaría
prestan	prestaría
proporcionan	proporcionaría
recogen	recogería
relacionan	relacionaría
roban	robaría
son	sería
sirven	serviría
sufren	sufriría
supervisan	supervisaría
tratan	trataría
