actúa	actuarán
analiza	analizarán
averigua	averiguarán
baila	bailarán
cae	caerán
comparte	compartirán
consigue	conseguirán
contribuye	contribuirán
coopera	cooperarán
crece	crecerán
cree	creerán
demuestra	demostrarán
designa	designarán
discute	discutirán
elige	elegirán
enseña	enseñarán
escucha	escucharán
estudia	estudiarán
explora	explorarán
habilita	habilitarán
habla	hablarán
impone	impondrán
incluye	incluirán
incorpora	incorporarán
informa	informarán
investiga	investigarán
mantiene	mantendrán
muere	morirán
muestra	mostrarán
olvida	olvidarán
paga	pagarán
parte	partirán
piensa	pensarán
permanece	permanecerán
pone	pondrán
presta	prestarán
prueba	probarán
protege	protegerán
publica	publicarán
recupera	recuperarán
respeta	respetarán
rompe	romperán
señala	señalarán
sugiere	sugerirán
suma	sumarán
supervisa	supervisarán
termina	terminarán
trabaja	trabajarán
trae	traerán
usa	usarán
