abandonaba	abandonamos
aceleraba	aceleramos
adquiría	adquirimos
alcanzaba	alcanzamos
apoyaba	apoyamos
asistía	asistimos
avanzaba	avanzamos
caía	caímos
caminaba	caminamos
cantaba	cantamos
compraba	compramos
confiaba	confiamos
conseguía	conseguimos
controlaba	controlamos
coordinaba	coordinamos
detenía	detuvimos
dormía	dormimos
elegía	elegimos
enfrentaba	enfrentamos
entraba	entramos
enviaba	enviamos
escuchaba	escuchamos
evadía	evadimos
facilitaba	facilitamos
firmaba	firmamos
fomentaba	fomentamos
funcionaba	funcionamos
garantizaba	garantizamos
imaginaba	imaginamos
informaba	informamos
intentaba	intentamos
limitaba	limitamos
luchaba	luchamos
mejoraba	mejoramos
modificaba	modificamos
movía	movimos
obtenía	obtuvimos
pedía	pedimos
permitía	permitimos
prevenía	previnimos
probaba	probamos
recordaba	recordamos
reforzaba	reforzamos
relacionaba	relacionamos
salvaba	salvamos
era	fuimos
sumaba	sumamos
supervisaba	supervisamos
terminaba	terminamos
visitaba	visitamos
