abandonarás	abandonarán
abrirás	abrirán
adquirirás	adquirirán
ampliarás	ampliarán
aumentarás	aumentarán
avanzarás	avanzarán
bailarás	bailarán
caerás	caerán
comprobarás	comprobarán
confiarás	confiarán
considerarás	considerarán
consolidarás	consolidarán
coordinarás	coordinarán
darás	darán
descubrirás	descubrirán
ejecutarás	ejecutarán
elaborarás	elaborarán
enviarás	enviarán
escucharás	escucharán
evaluarás	evaluarán
evitarás	evitarán
facilitarás	facilitarán
fomentarás	fomentarán
impondrás	impondrán
informarás	informarán
limpiarás	limpiarán
llamarás	llamarán
llegarás	llegarán
llevarás	llevarán
mantendrás	mantendrán
matarás	matarán
mostrarás	mostrarán
moverás	moverán
operarás	operarán
participarás	participarán
presentarás	presentarán
promocionarás	promocionarán
protegerás	protegerán
quedarás	quedarán
referirás	referirán
respetarás	respetarán
responderás	responderán
sacarás	sacarán
saldrás	saldrán
sentarás	sentarán
señalarás	señalarán
solicitarás	solicitarán
sumarás	sumarán
terminarás	terminarán
tocarás	tocarán
