administraría	administraríamos
ampliaría	ampliaríamos
anunciaría	anunciaríamos
aparecería	apareceríamos
averiguaría	averiguaríamos
causaría	causaríamos
combatiría	combatiríamos
comería	comeríamos
conservaría	conservaríamos
consultaría	consultaríamos
contendría	contendríamos
controlaría	controlaríamos
correría	correríamos
cuidaría	cuidaríamos
dejaría	dejaríamos
demostraría	demostraríamos
destruiría	destruiríamos
elaboraría	elaboraríamos
entraría	entraríamos
enviaría	enviaríamos
escribiría	escribiríamos
facilitaría	facilitaríamos
funcionaría	funcionaríamos
gastaría	gastaríamos
guardaría	guardaríamos
imaginaría	imaginaríamos
impediría	impediríamos
implicaría	implicaríamos
informaría	informaríamos
investigaría	investigaríamos
lloraría	lloraríamos
lucharía	lucharíamos
mantendría	mantendríamos
mejoraría	mejoraríamos
mostraría	mostraríamos
movería	moveríamos
operaría	operaríamos
perdería	perderíamos
presentaría	presentaríamos
promovería	promoveríamos
recibiría	recibiríamos
reduciría	reduciríamos
rompería	romperíamos
seleccionaría	seleccionaríamos
señalaría	señalaríamos
solicitaría	solicitaríamos
superaría	superaríamos
vendería	venderíamos
vendría	vendríamos
votaría	votaríamos
