aceptarías	aceptarían
adoptarías	adoptarían
asumirías	asumirían
atenderías	atenderían
aumentarías	aumentarían
avanzarías	avanzarían
combatirías	combatirían
comerías	comerían
comprobarías	comprobarían
confirmarías	confirmarían
conservarías	conservarían
contendrías	contendrían
continuarías	continuarían
descargarías	descargarían
designarías	designarían
dormirías	dormirían
elegirías	elegirían
enseñarías	enseñarían
escaparías	escaparían
escribirías	escribirían
evitarías	evitarían
fomentarías	fomentarían
funcionarías	funcionarían
generarías	generarían
gestionarías	gestionarían
invertirías	invertirían
investigarías	investigarían
llevarías	llevarían
matarías	matarían
mejorarías	mejorarían
moverías	moverían
necesitarías	necesitarían
oirías	oirían
pararías	pararían
pensarías	pensarían
permitirías	permitirían
presentarías	presentarían
prevendrías	prevendrían
promoverías	promoverían
proporcionarías	proporcionarían
publicarías	publicarían
recibirías	recibirían
reconocerías	reconocerían
referirías	referirían
representarías	representarían
respetarías	respetarían
responderías	responderían
sentarías	sentarían
sugerirías	sugerirían
trabajarías	trabajarían
