acordáis	acordaría
alcanzáis	alcanzaría
ampliáis	ampliaría
aplicáis	aplicaría
atendéis	atendería
añadís	añadiría
bailáis	bailaría
causáis	causaría
coméis	comería
concluís	concluiría
confirmáis	confirmaría
conseguís	conseguiría
consistís	consistiría
controláis	controlaría
coordináis	coordinaría
cortáis	cortaría
defendéis	defendería
dejáis	dejaría
describís	describiría
desempeñáis	desempeñaría
detenéis	detendría
encontráis	encontraría
entráis	entraría
enviáis	enviaría
estudiáis	estudiaría
explicáis	explicaría
facilitáis	facilitaría
falláis	fallaría
gastáis	gastaría
habéis	habría
impedís	impediría
incorporáis	incorporaría
introducís	introduciría
limpiáis	limpiaría
manejáis	manejaría
operáis	operaría
pasáis	pasaría
pedís	pediría
ponéis	pondría
producís	produciría
reemplazáis	reemplazaría
sentís	sentiría
sois	sería
sobrevivís	sobreviviría
sumáis	sumaría
supervisáis	supervisaría
trabajáis	trabajaría
traéis	traería
tratáis	trataría
unís	uniría
