acordando	acordaría
alentando	alentaría
ampliando	ampliaría
aprobando	aprobaría
asumiendo	asumiría
bebiendo	bebería
buscando	buscaría
cayendo	caería
cambiando	cambiaría
combatiendo	combatiría
confirmando	confirmaría
conservando	conservaría
creyendo	creería
decidiendo	decidiría
durmiendo	dormiría
ejecutando	ejecutaría
encontrando	encontraría
enfrentando	enfrentaría
escribiendo	escribiría
esperando	esperaría
explicando	explicaría
explorando	exploraría
formando	formaría
gestionando	gestionaría
identificando	identificaría
impidiendo	impediría
informando	informaría
invirtiendo	invertiría
involucrando	involucraría
logrando	lograría
pagando	pagaría
pidiendo	pediría
perdiendo	perdería
prestando	prestaría
produciendo	produciría
protegiendo	protegería
recordando	recordaría
reemplazando	reemplazaría
representando	representaría
respondiendo	respondería
revisando	revisaría
robando	robaría
salvando	salvaría
sentando	sentaría
siendo	sería
sufriendo	sufriría
sumando	sumaría
tratando	trataría
visitando	visitaría
votando	votaría
