amplié	ampliaríamos
aparecí	apareceríamos
aprendí	aprenderíamos
atendí	atenderíamos
avancé	avanzaríamos
bebí	beberíamos
causé	causaríamos
completé	completaríamos
comprobé	comprobaríamos
consolidé	consolidaríamos
corté	cortaríamos
dije	diríamos
demostré	demostraríamos
elegí	elegiríamos
eliminé	eliminaríamos
escribí	escribiríamos
evadí	evadiríamos
examiné	examinaríamos
existí	existiríamos
exploré	exploraríamos
fomenté	fomentaríamos
identifiqué	identificaríamos
imaginé	imaginaríamos
incluí	incluiríamos
introduje	introduciríamos
fui	iríamos
limité	limitaríamos
mostré	mostraríamos
moví	moveríamos
olvidé	olvidaríamos
parecí	pareceríamos
participé	participaríamos
pensé	pensaríamos
perdí	perderíamos
presté	prestaríamos
proveí	proveeríamos
quedé	quedaríamos
reduje	reduciríamos
reemplacé	reemplazaríamos
referí	referiríamos
respondí	responderíamos
rompí	romperíamos
salí	saldríamos
salvé	salvaríamos
senté	sentaríamos
usé	usaríamos
vendí	venderíamos
viajé	viajaríamos
visité	visitaríamos
volé	volaríamos
