acelerarán	acelerarías
aceptarán	aceptarías
apoyarán	apoyarías
comprarán	comprarías
conducirán	conducirías
construirán	construirías
controlarán	controlarías
correrán	correrías
decidirán	decidirías
descargarán	descargarías
describirán	describirías
discutirán	discutirías
disfrutarán	disfrutarías
elaborarán	elaborarías
eliminarán	eliminarías
empezarán	empezarías
encontrarán	encontrarías
esperarán	esperarías
estarán	estarías
evitarán	evitarías
generarán	generarías
identificarán	identificarías
irán	irías
jugarán	jugarías
mirarán	mirarías
mostrarán	mostrarías
ocurrirán	ocurrirías
participarán	participarías
permitirán	permitirías
prepararán	prepararías
prevendrán	prevendrías
promocionarán	promocionarías
promoverán	promoverías
proporcionarán	proporcionarías
protegerán	protegerías
recogerán	recogerías
reconocerán	reconocerías
reducirán	reducirías
referirán	referirías
robarán	robarías
satisfarán	satisfarías
servirán	servirías
superarán	superarías
supervisarán	supervisarías
tendrán	tendrías
terminarán	terminarías
unirán	unirías
verán	verías
visitarán	visitarías
volarán	volarías
