ampliar	ampliaba
aprovechar	aprovechaba
avanzar	avanzaba
buscar	buscaba
caer	caía
cerrar	cerraba
comer	comía
completar	completaba
comprobar	comprobaba
confiar	confiaba
conservar	conservaba
contar	contaba
contener	contenía
continuar	continuaba
convertir	convertía
destacar	destacaba
ejercer	ejercía
empezar	empezaba
existir	existía
financiar	financiaba
fomentar	fomentaba
ganar	ganaba
haber	había
hacer	hacía
iniciar	iniciaba
leer	leía
llamar	llamaba
localizar	localizaba
matar	mataba
medir	medía
mencionar	mencionaba
mirar	miraba
poner	ponía
preparar	preparaba
probar	probaba
publicar	publicaba
quedar	quedaba
realizar	realizaba
recoger	recogía
recuperar	recuperaba
regresar	regresaba
respetar	respetaba
seleccionar	seleccionaba
sentir	sentía
ser	era
señalar	señalaba
tener	tenía
terminar	terminaba
unir	unía
votar	votaba
