abandonaba	abandonaría
adoptaba	adoptaría
alentaba	alentaría
animaba	animaría
avanzaba	avanzaría
cantaba	cantaría
casaba	casaría
combatía	combatiría
comía	comería
completaba	completaría
confiaba	confiaría
confirmaba	confirmaría
consolidaba	consolidaría
contenía	contendría
continuaba	continuaría
controlaba	controlaría
decidía	decidiría
desarrollaba	desarrollaría
ejecutaba	ejecutaría
encontraba	encontraría
escapaba	escaparía
fallaba	fallaría
formaba	formaría
ganaba	ganaría
gastaba	gastaría
hacía	haría
identificaba	identificaría
investigaba	investigaría
llegaba	llegaría
localizaba	localizaría
lograba	lograría
luchaba	lucharía
mantenía	mantendría
mataba	mataría
mejoraba	mejoraría
moría	moriría
movía	movería
ocurría	ocurriría
ofrecía	ofrecería
olvidaba	olvidaría
organizaba	organizaría
pensaba	pensaría
perdía	perdería
preservaba	preservaría
promovía	promovería
quedaba	quedaría
respondía	respondería
robaba	robaría
salvaba	salvaría
superaba	superaría
