aceptaban	aceptaría
actuaban	actuaría
agradecían	agradecería
aparecían	aparecería
asistían	asistiría
asumían	asumiría
atraían	atraería
buscaban	buscaría
causaban	causaría
comprendían	comprendería
confirmaban	confirmaría
contenían	contendría
controlaban	controlaría
cooperaban	cooperaría
corrían	correría
creían	creería
cumplían	cumpliría
defendían	defendería
definían	definiría
dependían	dependería
destacaban	destacaría
detenían	detendría
determinaban	determinaría
ejecutaban	ejecutaría
evaluaban	evaluaría
expresaban	expresaría
hablaban	hablaría
identificaban	identificaría
incorporaban	incorporaría
indicaban	indicaría
informaban	informaría
iniciaban	iniciaría
invertían	invertiría
manejaban	manejaría
mejoraban	mejoraría
miraban	miraría
olvidaban	olvidaría
parecían	parecería
prestaban	prestaría
proporcionaban	proporcionaría
respondían	respondería
sacaban	sacaría
seguían	seguiría
seleccionaban	seleccionaría
eran	sería
señalaban	señalaría
supervisaban	supervisaría
utilizaban	utilizaría
venían	vendría
volaban	volaría
