administro	administraba
animo	animaba
aplico	aplicaba
apruebo	aprobaba
asumo	asumía
camino	caminaba
combato	combatía
conozco	conocía
conservo	conservaba
contengo	contenía
defiendo	defendía
demuestro	demostraba
desarrollo	desarrollaba
descubro	descubría
destaco	destacaba
destruyo	destruía
determino	determinaba
elaboro	elaboraba
enseño	enseñaba
explico	explicaba
firmo	firmaba
formulo	formulaba
funciono	funcionaba
guardo	guardaba
hago	hacía
impongo	imponía
intento	intentaba
introduzco	introducía
limito	limitaba
localizo	localizaba
mantengo	mantenía
menciono	mencionaba
muero	moría
muestro	mostraba
necesito	necesitaba
observo	observaba
organizo	organizaba
presento	presentaba
propongo	proponía
protejo	protegía
requiero	requería
reviso	revisaba
salvo	salvaba
satisfago	satisfacía
sirvo	servía
sobrevivo	sobrevivía
solicito	solicitaba
sufro	sufría
trabajo	trabajaba
visito	visitaba
