acordado	acordará
agradecido	agradecerá
alcanzado	alcanzará
analizado	analizará
animado	animará
añadido	añadirá
buscado	buscará
cambiado	cambiará
comprado	comprará
confiado	confiará
continuado	continuará
controlado	controlará
creído	creerá
dependido	dependerá
descargado	descargará
descubierto	descubrirá
elaborado	elaborará
empezado	empezará
entendido	entenderá
entrado	entrará
escuchado	escuchará
esperado	esperará
estado	estará
estudiado	estudiará
examinado	examinará
explorado	explorará
fallado	fallará
fomentado	fomentará
funcionado	funcionará
garantizado	garantizará
incluido	incluirá
incrementado	incrementará
informado	informará
iniciado	iniciará
invertido	invertirá
llegado	llegará
localizado	localizará
luchado	luchará
mirado	mirará
obtenido	obtendrá
olvidado	olvidará
permanecido	permanecerá
presentado	presentará
probado	probará
reforzado	reforzará
seleccionado	seleccionará
soportado	soportará
supervisado	supervisará
tomado	tomará
vuelto	volverá
