abandonado	abandonan
asistido	asisten
cantado	cantan
cerrado	cierran
completado	completan
comprendido	comprenden
conocido	conocen
consolidado	consolidan
continuado	continúan
cooperado	cooperan
creído	creen
cuidado	cuidan
dependido	dependen
desarrollado	desarrollan
descargado	descargan
enviado	envían
escuchado	escuchan
explicado	explican
facilitado	facilitan
formado	forman
ganado	ganan
identificado	identifican
informado	informan
iniciado	inician
involucrado	involucran
llamado	llaman
logrado	logran
mantenido	mantienen
mirado	miran
necesitado	necesitan
ofrecido	ofrecen
operado	operan
perdido	pierden
preguntado	preguntan
presentado	presentan
promocionado	promocionan
propuesto	proponen
recibido	reciben
reemplazado	reemplazan
respetado	respetan
sabido	saben
satisfecho	satisfacen
sentado	sientan
tocado	tocan
traído	traen
utilizado	utilizan
vendido	venden
viajado	viajan
vuelto	vuelven
votado	votan
