abordarán	abordarías
aparecerán	aparecerías
asegurarán	asegurarías
asistirán	asistirías
aumentarán	aumentarías
añadirán	añadirías
casarán	casarías
combatirán	combatirías
considerarán	considerarías
contendrán	contendrías
cooperarán	cooperarías
correrán	correrías
crearán	crearías
decidirán	decidirías
definirán	definirías
dependerán	dependerías
designarán	designarías
destacarán	destacarías
determinarán	determinarías
discutirán	discutirías
disfrutarán	disfrutarías
enseñarán	enseñarías
escribirán	escribirías
formularán	formularías
funcionarán	funcionarías
gestionarán	gestionarías
guardarán	guardarías
informarán	informarías
limitarán	limitarías
llegarán	llegarías
lograrán	lograrías
medirán	medirías
obtendrán	obtendrías
organizarán	organizarías
pararán	pararías
participarán	participarías
partirán	partirías
pensarán	pensarías
permanecerán	permanecerías
pondrán	pondrías
prestarán	prestarías
promoverán	promoverías
recogerán	recogerías
referirán	referirías
revisarán	revisarías
sentirán	sentirías
tendrán	tendrías
tomarán	tomarías
viajarán	viajarías
volverán	volverías
