abren	abrí
administran	administré
amplían	amplié
anuncian	anuncié
asisten	asistí
atienden	atendí
averiguan	averigüé
beben	bebí
cantan	canté
combaten	combatí
comienzan	comencé
comen	comí
concluyen	concluí
coordinan	coordiné
cortan	corté
creen	creí
deciden	decidí
dejan	dejé
descargan	descargué
discuten	discutí
disfrutan	disfruté
empiezan	empecé
envían	envié
esperan	esperé
facilitan	facilité
formulan	formulé
fortalecen	fortalecí
funcionan	funcioné
imaginan	imaginé
impiden	impedí
investigan	investigué
juegan	jugué
mejoran	mejoré
olvidan	olvidé
pasan	pasé
ponen	puse
preparan	preparé
presentan	presenté
prestan	presté
protegen	protegí
realizan	realicé
reconocen	reconocí
reducen	reduje
requieren	requerí
rompen	rompí
salen	salí
sobreviven	sobreviví
soportan	soporté
unen	uní
venden	vendí
