abordando	abordó
acordando	acordó
actuando	actuó
aprobando	aprobó
atendiendo	atendió
cambiando	cambió
cantando	cantó
conduciendo	condujo
confirmando	confirmó
conteniendo	contuvo
cumpliendo	cumplió
dando	dio
descargando	descargó
desempeñando	desempeñó
designando	designó
destruyendo	destruyó
disfrutando	disfrutó
durmiendo	durmió
ejecutando	ejecutó
elaborando	elaboró
empezando	empezó
enfrentando	enfrentó
entendiendo	entendió
fallando	falló
gastando	gastó
gestionando	gestionó
guardando	guardó
identificando	identificó
incluyendo	incluyó
integrando	integró
intentando	intentó
limpiando	limpió
llamando	llamó
manejando	manejó
mencionando	mencionó
modificando	modificó
operando	operó
pasando	pasó
permaneciendo	permaneció
poniendo	puso
protegiendo	protegió
solicitando	solicitó
soportando	soportó
sumando	sumó
trayendo	trajo
tratando	trató
usando	usó
visitando	visitó
volviendo	volvió
votando	votó
