actuando	actuaron
animando	animaron
atrayendo	atrajeron
comprando	compraron
comprendiendo	comprendieron
confiando	confiaron
confirmando	confirmaron
construyendo	construyeron
cortando	cortaron
creando	crearon
destacando	destacaron
destruyendo	destruyeron
discutiendo	discutieron
eliminando	eliminaron
enseñando	enseñaron
entendiendo	entendieron
estableciendo	establecieron
estando	estuvieron
estudiando	estudiaron
examinando	examinaron
firmando	firmaron
garantizando	garantizaron
gestionando	gestionaron
impidiendo	impidieron
implicando	implicaron
incrementando	incrementaron
instalando	instalaron
introduciendo	introdujeron
limitando	limitaron
logrando	lograron
mirando	miraron
obteniendo	obtuvieron
ocurriendo	ocurrieron
organizando	organizaron
oyendo	oyeron
pagando	pagaron
parando	pararon
presentando	presentaron
preservando	preservaron
produciendo	produjeron
protegiendo	protegieron
reduciendo	redujeron
representando	representaron
saliendo	salieron
siguiendo	siguieron
siendo	fueron
teniendo	tuvieron
tocando	tocaron
uniendo	unieron
viajando	viajaron
