actúo	actuaban
analizo	analizaban
animo	animaban
apruebo	aprobaban
asisto	asistían
atiendo	atendían
aumento	aumentaban
comienzo	comenzaban
comprendo	comprendían
compruebo	comprobaban
consigo	conseguían
conservo	conservaban
consisto	consistían
continúo	continuaban
coordino	coordinaban
corro	corrían
decido	decidían
empiezo	empezaban
entiendo	entendían
evalúo	evaluaban
expreso	expresaban
fallo	fallaban
funciono	funcionaban
gano	ganaban
genero	generaban
habilito	habilitaban
impido	impedían
inicio	iniciaban
involucro	involucraban
voy	iban
llamo	llamaban
llego	llegaban
localizo	localizaban
mato	mataban
puedo	podían
pruebo	probaban
proveo	proveían
reduzco	reducían
regreso	regresaban
salgo	salían
soy	eran
sirvo	servían
tomo	tomaban
uso	usaban
utilizo	utilizaban
viajo	viajaban
visito	visitaban
vivo	vivían
vuelo	volaban
voto	votaban
