ampliáis	ampliasteis
aparecéis	aparecisteis
aprobáis	aprobasteis
asistís	asististeis
aumentáis	aumentasteis
caéis	caísteis
cerráis	cerrasteis
comprobáis	comprobasteis
consideráis	considerasteis
construís	construisteis
cooperáis	cooperasteis
cubrís	cubristeis
cumplís	cumplisteis
dependéis	dependisteis
determináis	determinasteis
ejecutáis	ejecutasteis
escribís	escribisteis
esperáis	esperasteis
evadís	evadisteis
examináis	examinasteis
existís	exististeis
funcionáis	funcionasteis
garantizáis	garantizasteis
gastáis	gastasteis
incluís	incluisteis
invertís	invertisteis
limpiáis	limpiasteis
llamáis	llamasteis
lloráis	llorasteis
localizáis	localizasteis
movéis	movisteis
observáis	observasteis
pasáis	pasasteis
permitís	permitisteis
preparáis	preparasteis
producís	produjisteis
recordáis	recordasteis
recuperáis	recuperasteis
reducís	redujisteis
reemplazáis	reemplazasteis
requerís	requeristeis
resolvéis	resolvisteis
robáis	robasteis
sois	fuisteis
servís	servisteis
señaláis	señalasteis
sobrevivís	sobrevivisteis
sufrís	sufristeis
venís	vinisteis
veis	visteis
