adquiría	adquirirá
alcanzaba	alcanzará
alentaba	alentará
apoyaba	apoyará
aprendía	aprenderá
asistía	asistirá
atraía	atraerá
comía	comerá
conocía	conocerá
conseguía	conseguirá
consultaba	consultará
contribuía	contribuirá
creía	creerá
decidía	decidirá
designaba	designará
detenía	detendrá
entraba	entrará
estudiaba	estudiará
evadía	evadirá
evitaba	evitará
facilitaba	facilitará
fortalecía	fortalecerá
funcionaba	funcionará
hablaba	hablará
implicaba	implicará
indicaba	indicará
informaba	informará
iniciaba	iniciará
iba	irá
limitaba	limitará
luchaba	luchará
medía	medirá
modificaba	modificará
necesitaba	necesitará
paraba	parará
pedía	pedirá
preparaba	preparará
promocionaba	promocionará
promovía	promoverá
proponía	propondrá
proporcionaba	proporcionará
quedaba	quedará
era	será
servía	servirá
trabajaba	trabajará
utilizaba	utilizará
venía	vendrá
vivía	vivirá
volvía	volverá
votaba	votará
