actuamos	actuaba
adquirimos	adquiría
analizamos	analizaba
aplicamos	aplicaba
aprobamos	aprobaba
aprovechamos	aprovechaba
aseguramos	aseguraba
bailamos	bailaba
casamos	casaba
cerramos	cerraba
compramos	compraba
conducimos	conducía
coordinamos	coordinaba
definimos	definía
destruimos	destruía
determinamos	determinaba
empezamos	empezaba
encontramos	encontraba
enfrentamos	enfrentaba
enseñamos	enseñaba
escribimos	escribía
fallamos	fallaba
financiamos	financiaba
generamos	generaba
impedimos	impedía
incorporamos	incorporaba
informamos	informaba
instalamos	instalaba
involucramos	involucraba
jugamos	jugaba
mejoramos	mejoraba
mencionamos	mencionaba
observamos	observaba
olvidamos	olvidaba
oímos	oía
partimos	partía
perdemos	perdía
ponemos	ponía
preparamos	preparaba
probamos	probaba
reemplazamos	reemplazaba
representamos	representaba
resolvemos	resolvía
revisamos	revisaba
robamos	robaba
servimos	servía
tenemos	tenía
vemos	veía
verificamos	verificaba
votamos	votaba
