alcanzaba	alcancé
analizaba	analicé
anunciaba	anuncié
aplicaba	apliqué
aprobaba	aprobé
aprovechaba	aproveché
asumía	asumí
aumentaba	aumenté
añadía	añadí
buscaba	busqué
compraba	compré
comprobaba	comprobé
conservaba	conservé
consolidaba	consolidé
consultaba	consulté
contribuía	contribuí
controlaba	controlé
cuidaba	cuidé
decidía	decidí
dependía	dependí
estaba	estuve
evitaba	evité
existía	existí
firmaba	firmé
fortalecía	fortalecí
funcionaba	funcioné
ganaba	gané
gastaba	gasté
imaginaba	imaginé
implicaba	impliqué
indicaba	indiqué
instalaba	instalé
investigaba	investigué
limpiaba	limpié
llevaba	llevé
medía	medí
miraba	miré
mostraba	mostré
organizaba	organicé
pasaba	pasé
perdía	perdí
podía	pude
prevenía	previne
publicaba	publiqué
refería	referí
reforzaba	reforcé
requería	requerí
señalaba	señalé
supervisaba	supervisé
trataba	traté
