abandonaba	abandonará
analizaba	analizará
anunciaba	anunciará
aprendía	aprenderá
averiguaba	averiguará
causaba	causará
conducía	conducirá
confirmaba	confirmará
conocía	conocerá
conservaba	conservará
consideraba	considerará
consultaba	consultará
cortaba	cortará
creía	creerá
cumplía	cumplirá
defendía	defenderá
desarrollaba	desarrollará
desempeñaba	desempeñará
discutía	discutirá
dormía	dormirá
elaboraba	elaborará
escapaba	escapará
escribía	escribirá
estaba	estará
examinaba	examinará
explicaba	explicará
exploraba	explorará
financiaba	financiará
fomentaba	fomentará
guardaba	guardará
había	habrá
habilitaba	habilitará
intentaba	intentará
jugaba	jugará
lograba	logrará
medía	medirá
miraba	mirará
pagaba	pagará
parecía	parecerá
pasaba	pasará
perdía	perderá
permanecía	permanecerá
ponía	pondrá
promocionaba	promocionará
promovía	promoverá
reconocía	reconocerá
sacaba	sacará
sobrevivía	sobrevivirá
unía	unirá
vivía	vivirá
