abandonaría	abandonarían
aprendería	aprenderían
aprobaría	aprobarían
asistiría	asistirían
celebraría	celebrarían
cerraría	cerrarían
completaría	completarían
compraría	comprarían
confiaría	confiarían
consultaría	consultarían
correría	correrían
creería	creerían
diría	dirían
definiría	definirían
desarrollaría	desarrollarían
desempeñaría	desempeñarían
detendría	detendrían
dormiría	dormirían
encontraría	encontrarían
enfrentaría	enfrentarían
entendería	entenderían
escaparía	escaparían
estudiaría	estudiarían
fortalecería	fortalecerían
generaría	generarían
gestionaría	gestionarían
iniciaría	iniciarían
introduciría	introducirían
limitaría	limitarían
lloraría	llorarían
parecería	parecerían
partiría	partirían
pediría	pedirían
pensaría	pensarían
permitiría	permitirían
publicaría	publicarían
reconocería	reconocerían
recuperaría	recuperarían
reemplazaría	reemplazarían
requeriría	requerirían
respetaría	respetarían
respondería	responderían
rompería	romperían
seguiría	seguirían
serviría	servirían
sugeriría	sugerirían
supervisaría	supervisarían
tendría	tendrían
vería	verían
visitaría	visitarían
