abordaba	abordaré
adoptaba	adoptaré
adquiría	adquiriré
ampliaba	ampliaré
aprendía	aprenderé
aumentaba	aumentaré
ayudaba	ayudaré
cerraba	cerraré
comía	comeré
confiaba	confiaré
confirmaba	confirmaré
construía	construiré
consultaba	consultaré
creaba	crearé
crecía	creceré
creía	creeré
definía	definiré
demostraba	demostraré
desarrollaba	desarrollaré
descubría	descubriré
enseñaba	enseñaré
entendía	entenderé
estudiaba	estudiaré
evadía	evadiré
evaluaba	evaluaré
existía	existiré
formulaba	formularé
garantizaba	garantizaré
integraba	integraré
mejoraba	mejoraré
mencionaba	mencionaré
participaba	participaré
pasaba	pasaré
perdía	perderé
preparaba	prepararé
preservaba	preservaré
prevenía	prevendré
protegía	protegeré
publicaba	publicaré
reemplazaba	reemplazaré
robaba	robaré
sabía	sabré
sentaba	sentaré
servía	serviré
solicitaba	solicitaré
sufría	sufriré
sugería	sugeriré
tocaba	tocaré
tomaba	tomaré
trataba	trataré
