abandonó	abandonaríais
animó	animaríais
atendió	atenderíais
cayó	caeríais
casó	casaríais
causó	causaríais
comenzó	comenzaríais
compartió	compartiríais
consultó	consultaríais
controló	controlaríais
creció	creceríais
descargó	descargaríais
desempeñó	desempeñaríais
destacó	destacaríais
determinó	determinaríais
discutió	discutiríais
disfrutó	disfrutaríais
ejecutó	ejecutaríais
encontró	encontraríais
expresó	expresaríais
financió	financiaríais
gestionó	gestionaríais
impidió	impediríais
implicó	implicaríais
instaló	instalaríais
intentó	intentaríais
investigó	investigaríais
fue	iríais
midió	mediríais
mencionó	mencionaríais
modificó	modificaríais
murió	moriríais
mostró	mostraríais
necesitó	necesitaríais
partió	partiríais
proveyó	proveeríais
quedó	quedaríais
realizó	realizaríais
recogió	recogeríais
reconoció	reconoceríais
recuperó	recuperaríais
robó	robaríais
sintió	sentiríais
fue	seríais
soportó	soportaríais
trató	trataríais
vendió	venderíais
vio	veríais
verificó	verificaríais
visitó	visitaríais
