abrían	abriría
aceptaban	aceptaría
actuaban	actuaría
adquirían	adquiriría
apoyaban	apoyaría
añadían	añadiría
bailaban	bailaría
bebían	bebería
compartían	compartiría
consultaban	consultaría
convertían	convertiría
cooperaban	cooperaría
coordinaban	coordinaría
daban	daría
destruían	destruiría
dirigían	dirigiría
elaboraban	elaboraría
enfrentaban	enfrentaría
entraban	entraría
escribían	escribiría
esperaban	esperaría
estudiaban	estudiaría
explicaban	explicaría
firmaban	firmaría
fomentaban	fomentaría
fortalecían	fortalecería
generaban	generaría
guardaban	guardaría
jugaban	jugaría
limitaban	limitaría
llegaban	llegaría
llevaban	llevaría
lloraban	lloraría
ofrecían	ofrecería
pasaban	pasaría
presentaban	presentaría
preservaban	preservaría
proponían	propondría
proporcionaban	proporcionaría
reforzaban	reforzaría
relacionaban	relacionaría
rompían	rompería
salvaban	salvaría
sentaban	sentaría
eran	sería
señalaban	señalaría
sugerían	sugeriría
traían	traería
venían	vendría
votaban	votaría
