abordamos	abordaría
aceptamos	aceptaría
alentamos	alentaría
ampliamos	ampliaría
aparecemos	aparecería
asumimos	asumiría
cantamos	cantaría
casamos	casaría
creamos	crearía
crecemos	crecería
dirigimos	dirigiría
ejecutamos	ejecutaría
enfrentamos	enfrentaría
estamos	estaría
evadimos	evadiría
evitamos	evitaría
exploramos	exploraría
fomentamos	fomentaría
generamos	generaría
guardamos	guardaría
imaginamos	imaginaría
impedimos	impediría
incluimos	incluiría
indicamos	indicaría
investigamos	investigaría
leemos	leería
llegamos	llegaría
lloramos	lloraría
observamos	observaría
organizamos	organizaría
paramos	pararía
parecemos	parecería
presentamos	presentaría
prestamos	prestaría
proponemos	propondría
recibimos	recibiría
reducimos	reduciría
revisamos	revisaría
rompemos	rompería
sabemos	sabría
sacamos	sacaría
seguimos	seguiría
sentimos	sentiría
señalamos	señalaría
soportamos	soportaría
tenemos	tendría
tocamos	tocaría
trabajamos	trabajaría
usamos	usaría
utilizamos	utilizaría
