abriréis	abriría
adoptaréis	adoptaría
agradeceréis	agradecería
anunciaréis	anunciaría
atenderéis	atendería
ayudaréis	ayudaría
cantaréis	cantaría
cerraréis	cerraría
compraréis	compraría
concluiréis	concluiría
conoceréis	conocería
conseguiréis	conseguiría
contendréis	contendría
continuaréis	continuaría
contribuiréis	contribuiría
cortaréis	cortaría
creeréis	creería
dormiréis	dormiría
enseñaréis	enseñaría
escucharéis	escucharía
evadiréis	evadiría
examinaréis	examinaría
fomentaréis	fomentaría
formularéis	formularía
guardaréis	guardaría
implicaréis	implicaría
impondréis	impondría
introduciréis	introduciría
lucharéis	lucharía
manejaréis	manejaría
mantendréis	mantendría
necesitaréis	necesitaría
obtendréis	obtendría
pareceréis	parecería
participaréis	participaría
permitiréis	permitiría
presentaréis	presentaría
preservaréis	preservaría
propondréis	propondría
reduciréis	reduciría
romperéis	rompería
sabréis	sabría
sacaréis	sacaría
salvaréis	salvaría
sentiréis	sentiría
sufriréis	sufriría
superaréis	superaría
tendréis	tendría
venderéis	vendería
vendréis	vendría
