accederás	accederíamos
administrarás	administraríamos
animarás	animaríamos
aprobarás	aprobaríamos
asegurarás	aseguraríamos
caerás	caeríamos
celebrarás	celebraríamos
cerrarás	cerraríamos
compartirás	compartiríamos
comprobarás	comprobaríamos
conducirás	conduciríamos
confiarás	confiaríamos
confirmarás	confirmaríamos
considerarás	consideraríamos
controlarás	controlaríamos
desarrollarás	desarrollaríamos
designarás	designaríamos
determinarás	determinaríamos
dormirás	dormiríamos
elegirás	elegiríamos
entenderás	entenderíamos
esperarás	esperaríamos
establecerás	estableceríamos
explicarás	explicaríamos
explorarás	exploraríamos
fortalecerás	fortaleceríamos
funcionarás	funcionaríamos
habilitarás	habilitaríamos
hablarás	hablaríamos
impedirás	impediríamos
irás	iríamos
leerás	leeríamos
manejarás	manejaríamos
matarás	mataríamos
mencionarás	mencionaríamos
morirás	moriríamos
observarás	observaríamos
parecerás	pareceríamos
pondrás	pondríamos
preguntarás	preguntaríamos
prevendrás	prevendríamos
probarás	probaríamos
promocionarás	promocionaríamos
resolverás	resolveríamos
romperás	romperíamos
salvarás	salvaríamos
supervisarás	supervisaríamos
terminarás	terminaríamos
trabajarás	trabajaríamos
traerás	traeríamos
