accedería	accederían
animaría	animarían
asistiría	asistirían
atraería	atraerían
avanzaría	avanzarían
cambiaría	cambiarían
casaría	casarían
comería	comerían
compartiría	compartirían
cooperaría	cooperarían
cumpliría	cumplirían
diría	dirían
defendería	defenderían
definiría	definirían
dejaría	dejarían
demostraría	demostrarían
descargaría	descargarían
disfrutaría	disfrutarían
enfrentaría	enfrentarían
entraría	entrarían
escaparía	escaparían
escucharía	escucharían
esperaría	esperarían
estudiaría	estudiarían
exploraría	explorarían
financiaría	financiarían
firmaría	firmarían
habilitaría	habilitarían
instalaría	instalarían
miraría	mirarían
oiría	oirían
pagaría	pagarían
pararía	pararían
pasaría	pasarían
permanecería	permanecerían
permitiría	permitirían
presentaría	presentarían
prestaría	prestarían
produciría	producirían
protegería	protegerían
publicaría	publicarían
reduciría	reducirían
respetaría	respetarían
respondería	responderían
soportaría	soportarían
traería	traerían
vería	verían
visitaría	visitarían
volaría	volarían
votaría	votarían
