adquirías	adquirimos
alentabas	alentamos
aparecías	aparecimos
aplicabas	aplicamos
aprobabas	aprobamos
celebrabas	celebramos
compartías	compartimos
completabas	completamos
comprobabas	comprobamos
confirmabas	confirmamos
construías	construimos
consultabas	consultamos
decías	dijimos
dejabas	dejamos
detenías	detuvimos
determinabas	determinamos
dirigías	dirigimos
enseñabas	enseñamos
entrabas	entramos
escribías	escribimos
escuchabas	escuchamos
evaluabas	evaluamos
evitabas	evitamos
examinabas	examinamos
existías	existimos
explicabas	explicamos
generabas	generamos
gestionabas	gestionamos
habilitabas	habilitamos
hacías	hicimos
incluías	incluimos
llamabas	llamamos
llorabas	lloramos
lograbas	logramos
luchabas	luchamos
mencionabas	mencionamos
necesitabas	necesitamos
observabas	observamos
pasabas	pasamos
pedías	pedimos
permanecías	permanecimos
preguntabas	preguntamos
producías	produjimos
relacionabas	relacionamos
rompías	rompimos
satisfacías	satisficimos
servías	servimos
tenías	tuvimos
usabas	usamos
volvías	volvimos
