aceleráis	aceleraste
adoptáis	adoptaste
alcanzáis	alcanzaste
analizáis	analizaste
aplicáis	aplicaste
ayudáis	ayudaste
cambiáis	cambiaste
cantáis	cantaste
causáis	causaste
celebráis	celebraste
comenzáis	comenzaste
coméis	comiste
concluís	concluiste
continuáis	continuaste
contribuís	contribuiste
cortáis	cortaste
dais	diste
describís	describiste
descubrís	descubriste
dirigís	dirigiste
entendéis	entendiste
establecéis	estableciste
evaluáis	evaluaste
falláis	fallaste
financiáis	financiaste
formuláis	formulaste
funcionáis	funcionaste
hacéis	hiciste
identificáis	identificaste
instaláis	instalaste
introducís	introdujiste
jugáis	jugaste
limpiáis	limpiaste
lográis	lograste
parecéis	pareciste
partís	partiste
pasáis	pasaste
preparáis	preparaste
prestáis	prestaste
prevenís	previniste
robáis	robaste
sabéis	supiste
soportáis	soportaste
sugerís	sugeriste
superáis	superaste
termináis	terminaste
trabajáis	trabajaste
traéis	trajiste
veis	viste
verificáis	verificaste
