cesar	romano
darwin	inglés/británico
descartes	francés
edison	americano/norteamericano/estadounidense/gringo
fermi	italiano
galileo	italiano
fidel/castro	cubano
hitler	alemán/austriaco
homero	griego
franco	español
jolie	americana/norteamericana/estadounidense/gringa
kant	alemán
lenin	soviético/ruso
lennon	inglés/británico
lincoln	americano/norteamericano/estadounidense/gringo
colón	genovés/italiano
marx	alemán
maxwell	escocés/inglés/británico
kennedy	americano/norteamericano/estadounidense/gringo
pinochet	chileno
mozart	alemán
napoleón	francés/corso/italiano
newton	inglés/británico
pascal	francés
raphael	español
stalin	soviético/georgiano
turing	inglés/británico
wagner	alemán
