académico	antiacadémico
alérgico	antialérgico
arrítmico	antiarrítmico
atómico	antiatómico
balas	antibalas
canceroso	anticanceroso
capitalismo	anticapitalismo
católico	anticatólico
ciclón	anticiclón
científico	anticientífico
coagulante	anticoagulante
colonial	anticolonial
congelante	anticongelante
corrosivo	anticorrosivo
corrupción	anticorrupción
deportivo	antideportivo
depresivo	antidepresivo
droga	antidroga
emético	antiemético
epiléptico	antiepiléptico
fúngico	antifúngico
hipertensivo	antihipertensivo
héroe	antihéroe
liberal	antiliberal
liberalismo	antiliberalismo
magnético	antimagnético
monárquico	antimonárquico
nacionalismo	antinacionalismo
natalismo	antinatalismo
natalista	antinatalista
natura	antinatural
oxidante	antioxidante
palúdico	antipalúdico
parasitario	antiparasitario
patriótico	antipatriótico
religioso	antirreligioso
revolucionario	antirrevolucionario
semita	antisemita
semítico	antisemítico
sifilítico	antisifilítico
social	antisocial
submarino	antisubmarino
terrorista	antiterrorista
tetánico	antitetánico
teísta	antiteísta
toxina	antitoxina
tuberculoso	antituberculoso
virus	antivirus
ácido	antiácido
