aceptar	aceptado
administrar	administrado
alentar	alentado
aparecer	aparecido
aprovechar	aprovechado
añadir	añadido
bailar	bailado
caer	caído
caminar	caminado
celebrar	celebrado
comprender	comprendido
comprobar	comprobado
conseguir	conseguido
considerar	considerado
crear	creado
crecer	crecido
dejar	dejado
descubrir	descubierto
detener	detenido
ejercer	ejercido
entrar	entrado
estudiar	estudiado
fortalecer	fortalecido
integrar	integrado
invertir	invertido
involucrar	involucrado
limpiar	limpiado
mantener	mantenido
matar	matado
mencionar	mencionado
mirar	mirado
ocurrir	ocurrido
organizar	organizado
parar	parado
parecer	parecido
preservar	preservado
publicar	publicado
quedar	quedado
referir	referido
resolver	resuelto
sentar	sentado
ser	sido
señalar	señalado
sobrevivir	sobrevivido
solicitar	solicitado
soportar	soportado
tener	tenido
terminar	terminado
trabajar	trabajado
votar	votado
