abordable	inabordable
acabado	inacabado
acción	inacción
actividad	inactividad
adaptado	inadaptado
adecuación	inadecuación
admisible	inadmisible
advertido	inadvertido
alámbrico	inalámbrico
aplicable	inaplicable
apreciable	inapreciable
capaz	incapaz
certeza	incerteza
clasificable	inclasificable
coherencia	incoherencia
comestible	incomestible
conciliable	inconciliable
confundible	inconfundible
consistente	inconsistente
contable	incontable
controlado	incontrolado
corrupto	incorrupto
creíble	increíble
crédulo	incrédulo
culto	inculto
debido	indebido
decible	indecible
dehiscente	indehiscente
deseable	indeseable
determinación	indeterminación
digerible	indigerible
discreto	indiscreto
disponible	indisponible
estable	inestable
existente	inexistente
expresable	inexpresable
formal	informal
fértil	infértil
habilidad	inhabilidad
habilitar	inhabilitar
manejable	inmanejable
memoria	inmemorial
moralidad	inmoralidad
oportuno	inoportuno
realidad	irrealidad
sepulto	insepulto
solvente	insolvente
trascendente	intrascendente
variable	invariable
vulnerable	invulnerable
