afganistán	kabul
australia	canberra
austria	viena
bangladés	daca
bélgica	bruselas
bulgaria	sofía
canadá	ottawa
chile	santiago
china	beijing/pekín
croacia	zagreb
cuba	habana
dinamarca	copenhagen
egipto	cairo
inglaterra/uk/ur	londres
finlandia	helsinki
francia	parís
georgia	tiflis
alemania	berlín
grecia	atenas
guinea	conakri
hungria	budapest
indonesia	yakarta
irán	teherán
irak	bagdad
irlanda	dublín
italia	roma
jamaica	kingston
japón	tokio
jordania	amán
kenia	nairobi
líbano	beirut
nigeria	abuya
noruega	oslo
pakistán	islamabad
perú	lima
filipinas	manila
polonia	varsovia
portugal	lisboa
rumania/rumanía	bucarest
rusia	moscú
serbia	belgrado
españa	madrid
suecia	estocolmo
suiza	berna
siria	damasco
taiwan	taipéi
tailandia	bangkok
turquía	ankara
ucrania	kiev
vietnam	hanói
