capaz	incapaz/inepto
abundante	escaso/pobre
consciente	inconsciente
bonito	feo/repelente/horrible
grande	pequeño/mínimo/insignificante
brillante	apagado/opaco/mate
barato	caro/oneroso/costoso
limpio	sucio/desaseado/contaminado/infectado
claro	oscuro/sombrío/apagado
cerca	lejos
colorido	decoloración/difuminación
común	extraordinario/inusual
competente	incompetente/inexperto
preocupado	despreocupado
cocido	crudo
peligroso	seguro
decisivo	provisional
seco	húmedo/mojado/empapado/calado
energético	debilitador/enervante
familiar	raro/extraño
gordo	flaco/delgado/esmirriado/estilizado
lleno	vacío/desocupado/falto
viscoso	fluido/ligero/claro
generoso	tacaño/roñoso/egoísta
feliz	triste/desgraciado/infeliz
duro	blando/frágil
caliente	frío/gélido/helado/refrigerado
interesante	indiferente/anodino/insulso/aburrido
introvertido	extrovertido/sociable
amplio	estrecho/escaso
largo	corto/reducido/pequeño
rugoso	liso/planchado
ruidoso	silencioso
normal	inusual/anormal/insólito
organizado	desorganizado
pálido	sonrosado/colorado
rico	pobre/indigente
sano	enfermizo/enclenque
corto	alto/largo
simple	complicado
sincero	hipócrita/falso
lento	repentino/rápido
dulce	amargo/agrio/salado
sabroso	insípido/soso
apretado	fácil/sencillo/ancho
cálido	frío/helado
blanco	negro/oscuro
ancho	estrecho
voluntario	obligatorio/forzado
joven	viejo
