adquiero	adquirimos
aliento	alentamos
anuncio	anunciamos
aplico	aplicamos
aprovecho	aprovechamos
atraigo	atraemos
cambio	cambiamos
canto	cantamos
celebro	celebramos
cierro	cerramos
combato	combatimos
compruebo	comprobamos
consigo	conseguimos
continúo	continuamos
contribuyo	contribuimos
coopero	cooperamos
corro	corremos
demuestro	demostramos
designo	designamos
duermo	dormimos
ejecuto	ejecutamos
estudio	estudiamos
expreso	expresamos
fallo	fallamos
gano	ganamos
hablo	hablamos
incluyo	incluimos
invierto	invertimos
juego	jugamos
llego	llegamos
manejo	manejamos
mantengo	mantenemos
mejoro	mejoramos
menciono	mencionamos
parto	partimos
presento	presentamos
pruebo	probamos
promociono	promocionamos
respondo	respondemos
saco	sacamos
salgo	salimos
siento	sentimos
soy	somos
superviso	supervisamos
tengo	tenemos
traigo	traemos
uso	usamos
utilizo	utilizamos
vivo	vivimos
voto	votamos
