abierto	abiertamente
amigable	amigablemente
aproximado	aproximadamente
benigno	benignamente
común	comúnmente
contingente	contingentemente
costoso	costosamente
cronológico	cronológicamente
deliberado	deliberadamente
desapasionado	desapasionadamente
emocional	emocionalmente
escueto	escuetamente
esforzado	esforzadamente
exagerado	exageradamente
extraño	extrañamente
feroz	ferozmente
forzoso	forzosamente
franca	francamente
glorioso	gloriosamente
gracioso	graciosamente
grande	grandemente
hondo	hondamente
hábil	hábilmente
impiedad	impíamente
imposible	imposiblemente
indigno	indignamente
individual	individualmente
inopinada	inopinadamente
intrépido	intrépidamente
irreflexiva	irreflexivamente
metafísico	metafísicamente
ministerial	ministerialmente
minucioso	minuciosamente
musical	musicalmente
pasivo	pasivamente
positivo	positivamente
potencial	potencialmente
privado	privadamente
privilegiado	privilegiadamente
profesional	profesionalmente
reciente	recientemente
sano	sanamente
sentido	sentidamente
señalada	señaladamente
simultáneo	simultáneamente
sincera	sinceramente
solapado	solapadamente
vero	veramente
épico	épicamente
último	últimamente
