academia	academias
agencia	agencias
área	áreas
auto	autos
colegio	colegios
base	bases
cliente	clientes
día	días
muerte	muertes
departamento	departamentos
desarrollo	desarrollos
diferencia	diferencias
empresario	empresarios
evento	eventos
ejemplo	ejemplos
hecho	hechos
amigo	amigos
categoría	categorías
gobierno	gobiernos
hora	horas
idea	ideas
lenguaje	lenguajes
siglo	siglos
miembro	miembros
niño	niños
noche	noches
oficina	oficinas
periodo	periodos
economía	economías
energía	energías
problema	problemas
producto	productos
recurso	recursos
rió	ríos
camino	caminos
familia	familias
ciencia	ciencias
formula	formulas
historia	historias
calle	calles
estudiante	estudiantes
sistema	sistemas
cosa	cosas
pueblo	pueblos
usuario	usuarios
industria	industrias
villa	villas
librería	librerías
semana	semanas
año	años
