abrí	abriré
accedí	accederé
alenté	alentaré
aparecí	apareceré
apliqué	aplicaré
asumí	asumiré
atendí	atenderé
bailé	bailaré
casé	casaré
combatí	combatiré
compartí	compartiré
completé	completaré
conduje	conduciré
confirmé	confirmaré
coordiné	coordinaré
corté	cortaré
dije	diré
dejé	dejaré
desarrollé	desarrollaré
destruí	destruiré
dirigí	dirigiré
discutí	discutiré
ejercí	ejerceré
entendí	entenderé
esperé	esperaré
evadí	evadiré
expliqué	explicaré
financié	financiaré
funcioné	funcionaré
garanticé	garantizaré
hablé	hablaré
hice	haré
impedí	impediré
logré	lograré
maté	mataré
mencioné	mencionaré
mostré	mostraré
ocurrí	ocurriré
pagué	pagaré
pasé	pasaré
puse	pondré
promocioné	promocionaré
quedé	quedaré
recordé	recordaré
reduje	reduciré
sugerí	sugeriré
traté	trataré
usé	usaré
vine	vendré
verifiqué	verificaré
